,term,neutral_alternative
693,limeman,
694,lineman,
695,linenman,
696,linesman,
697,lingtowman,
698,linkman,
699,lithsman,
700,liveryman,
701,lobbyman,
702,lockerman,
703,lockman,
704,locksman,
705,locomotiveman,
706,lodesman,
707,lodgeman,
708,loftman,
709,loftsman,
710,logman,
711,longshoreman,
712,lootsman,
713,loveman,
714,lowerclassman,
715,lumberman,
716,lumpman,
717,lyreman,
718,maceman,
719,machineman,
720,madman,
721,madwoman,
722,magsman,
723,mailman,
724,maltman,
725,man,
726,manbot,
727,manful,
728,manfully,
729,manfulness,
730,mangleman,
731,manhead,
732,manhole,
733,manhood,
734,manify,
735,manikin,
736,manikinism,
737,mankeeper,
738,mankind,
739,manless,
740,manlessly,
741,manlessness,
742,manlihood,
743,manlike,
744,manlikely,
745,manlikeness,
746,manlily,
747,manliness,
748,manling,
749,manly,
750,mannequin,
751,manning,
752,mannishly,
753,mannishness,
754,manship,
755,manslaughter,
756,manslaughterer,
757,manslaughtering,
758,manslaughterous,
759,manslayer,
760,manslaying,
761,manstealer,
762,manstealing,
763,manstopper,
764,manstopping,
765,manwards,
766,manway,
767,manweed,
768,manwise,
769,marchman,
770,marketman,
771,markman,
772,marksman,
773,marksmanly,
774,marksmanship,
775,markswoman,
776,marshalman,
777,marshman,
778,mashman,
779,masterman,
780,mastman,
781,materialman,
782,meadsman,
783,mealman,
784,meatman,
785,mellsman,
786,merchantman,
787,meresman,
788,merman,
789,merryman,
790,merwoman,
791,messman,
792,meterman,
793,middleman,
794,middlemanism,
795,middlemanship,
796,middlewoman,
797,midshipman,
798,midshipmanship,
799,militiaman,
800,milkman,
801,millman,
802,mintman,
803,minuteman,
804,mobsman,
805,molman,
806,moonman,
807,Moorman,
808,moorman,
809,moorsman,
810,mootman,
811,motorboatman,
812,motorman,
813,moudieman,
814,muckman,
815,muffleman,
816,muleman,
817,nagman,
818,nagsman,
819,needleman,
820,needlewoman,
821,nepman,
822,netman,
823,netsman,
824,newsman,
825,newspaperman,
826,newspaperwoman,
827,nightman,
828,nobleman,
829,noblemanly,
830,noblewoman,
831,nonfisherman,
832,nonfreeman,
833,nongildsman,
834,nontribesman,
835,nurseryman,
836,oarman,
837,oarsman,
838,oarsmanship,
839,oarswoman,
840,odalman,
841,odalwoman,
842,oddman,
843,oddsman,
844,oilman,
845,oliverman,
846,ombudsman,
847,ombudsmanship,
848,omnibusman,
849,oncostman,
850,Orangeman,
851,orangeman,
852,orangewoman,
853,orchardman,
854,oreman,
855,Ottoman,
856,outdoorsman,
857,outfieldsman,
858,outfreeman,
859,outman,
860,outwoman,
861,ovenman,
862,overheadman,
863,overman,
864,oversman,
865,overwoman,
866,overwomanly,
867,oxman,
868,oxmanship,
869,oysterman,
870,oysterwoman,
871,packman,
872,packmanship,
873,Paleman,
874,Palesman,
875,panman,
876,pannierman,
877,pansideman,
878,pantryman,
879,pantrywoman,
880,passman,
881,passwoman,
882,pastryman,
883,patrolman,
884,peaceman,
885,peatman,
886,peelman,
887,pegman,
888,penman,
889,penmanship,
890,penwoman,
891,penwomanship,
892,perryman,
893,peteman,
894,peterman,
895,phraseman,
896,pickleman,
897,pickman,
898,picksman,
899,pieman,
900,piewoman,
901,pigeonman,
902,pigman,
903,pikeman,
904,pilotman,
905,pipeman,
906,pitcherman,
907,pitchman,
908,pitman,
909,placeman,
910,placemanship,
911,placewoman,
912,plaidman,
913,plainsman,
914,plainswoman,
915,plantsman,
916,plateman,
917,playcraftsman,
918,playman,
919,playwoman,
920,pleaseman,
921,pleasureman,
922,ploughmanship,
923,plowman,
924,plowmanship,
925,plowwoman,
926,plugman,
927,pointman,
928,pointsman,
929,pointswoman,
930,polderman,
931,poleman,
932,polesman,
933,policeman,
934,policemanish,
935,policemanism,
936,policemanlike,
937,policemanship,
938,policewoman,
939,polisman,
940,pondman,
941,porkman,
942,portman,
943,portmanmote,
944,portsman,
945,posseman,
946,postman,
947,postwoman,
948,potman,
949,poultryman,
950,poundman,
951,powderman,
952,preachman,
953,prefreshman,
954,premanhood,
955,premankind,
956,pressman,
957,pressmanship,
958,presswoman,
959,preterhuman,
960,prigman,
961,privateersman,
962,prizeman,
963,proseman,
964,puerman,
